smiles,Kode-1,Kode-2
CCOc1ccc(cc1)N2CC3=C(C2=O)[C@@H](NC(=O)N3C)c4ccc(cc4)OC,C04753642,P06826877
CCc1c(nc2ncnn2c1N3CCC(CC3)C(=O)Nc4cc(ccc4C)F)C,C04898119,P07141164
C[C@@H](C12CC3CC(C1)CC(C3)C2)N4C(=O)/C(=C/c5ccc6c(c5)OCO6)/C(=O)NC4=O,C06467875,P10144388
Cc1c(n(c2c1c3nc(nn3cn2)c4cc5ccccc5cc4O)Cc6ccncc6)C,C09061132,P14077634
Cc1ccc(cc1)c2nc(cs2)CN3C(=O)[C@@](NC3=O)(C)c4ccc5c(c4)OCO5,C09414260,P14426616
Cc1ccccc1n2c3c(cn2)c(nc(n3)SCC(=O)N4CCCCCC4)O,C09522117,P14591847
C[C@@H]1CCCC[C@@H]1NC(=O)C2CCN(CC2)c3ccc4nnc(n4n3)C(F)(F)F,C11776904,P17436589
Cc1ccnc(n1)SCc2cc(=O)[nH]c(n2)N3CCN(CC3)c4ccccc4,C12324973,P18233142
c1ccc(cc1)[C@@H]2c3cc(ccc3NC(=O)CN2C(=O)c4cccc(c4)[N+](=O)[O-])Cl,C13375920,P20540805
C[C@@]1(C(=O)N(C(=O)N1)Cc2ccc(cc2)c3ccccc3C#N)c4ccc5c(c4)OCO5,C14247651,P21842470
Cc1c2c(n(n1)c3nc4ccc(cc4s3)OC)NC(=O)C[C@H]2c5ccc(cc5)C#N,C15868212,P23950477
COc1ccc(cc1)[C@@H]2CC3=C([C@@H](CC(=O)N3)c4cccc(c4)[N+](=O)[O-])C(=O)C2,C17080096,P25686363
Cc1cc2n(n1)[C@H](C[C@H](N2)[C@H]3CCCN(C3)C(=O)c4cc(on4)C(C)C)C(F)(F)F,C19128166,P28248757
C[C@@H]1CCCC[C@@]12C(=O)N(C(=O)N2)CC(=O)/N=c\3/n(ccs3)Cc4ccccc4,C19295973,P28522101
CC(C)c1cc(n2c(n1)cc(n2)[C@@H]3CCCN3C(=O)c4cc[nH]n4)C(F)(F)F,C19452324,P28770710
Cc1cc(c2c(noc2n1)C3CCN(CC3)C(=O)c4cc(n[nH]4)C(C)C)C(F)(F)F,C19569079,P28969366
CC1=NC2=NC(=N[C@@H](N2C(=C1)[O-])[C@@H]3CCC=CC3)N4CCC(CC4)[NH+]5CCCCC5,C20556023,P30655390
c1cc(ccc1c2c3c(ncnc3on2)N4CCC[C@H](C4)C(=O)NC5CCCC5)F,C20575313,P30694445
c1cc(cc(c1)[N+](=O)[O-])[C@@H]2[C@@H]3CC=C[C@H]3c4cc(ccc4N2)S(=O)(=O)N5CCCC5,C20705096,P30909147
c1cc(cc(c1)[N+](=O)[O-])[C@H]2C=C(N=C3N2N=CN3)c4ccc(cc4)Br,C02914626,P30988169
CCn1ccc2c1ccc(c2)S(=O)(=O)N3CCCN(CC3)C(=O)NC4CCCC4,C21087965,P31478118
c1ccc(cc1)CN2[C@@H](c3c(cccn3)C2=O)Nc4ccc(c(c4)[N+](=O)[O-])Cl,C21107324,P31500644
C[C@@H]1CN(C[C@H](O1)C)[C@H](c2ccc(cc2)F)c3c(n4c(s3)nc(n4)c5ccco5)O,C16689794,P33938040
C[C@H]1CN(C[C@H](O1)C)[C@H](c2ccc(cc2)F)c3c(n4c(s3)nc(n4)c5ccco5)O,C16689795,P33938045
Cc1ccc(cc1NC(=O)[C@H]2CCCN2C(=O)C34CC5CC(C3)CC(C5)C4)[N+](=O)[O-],C24068393,P35694237
CN1CCN(CC1)[C@@H](c2ccc(cc2)F)c3c(n4c(s3)nc(n4)c5ccco5)O,C22577375,P56723185
CC(C)(C)C1=C[C@H](N=N1)C(=O)N/N=C/c2cc3c(cc2Br)OCO3,C38599300,P58426456
c1ccc(cc1)n2c3c(nc2SCC(=O)/[NH+]=C/4\C=CC5=NC(=NC5=C4)[O-])CCCC3,C39730706,P60243122
CCCn1c2c(c(cc(n2)C(C)C)C(=O)N3c4ccccc4C[C@@H]3C)c(=O)[nH]c1=O,C40063256,P60801952
c1cc2c(cc1N3CCN(C3=O)CC(=O)Nc4cc(ccc4Cl)Cl)OCCO2,C49390426,P73761090
