Senyawa,smiles
" 2,4-Dihydrophthalic Anhydride",O=C1OC(=O)C2C=CCCC12
" 2-Vinyl-(4h)-1,3-Dithiin",C=CC1SCC=CS1
 Arabinose,OC[C@@H](O)[C@@H](O)[C@H](O)C=O
 b-Sitosterol ,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C
 D-Xylose,OC[C@@H](O)[C@H](O)[C@@H](O)C=O
 Eugenol ,COc1cc(CC=C)ccc1O
 Hyperforin,CC(C)C(=O)[C@@]12C(=O)C(=C(O)[C@@](CC=C(C)C)(C[C@H](CC=C(C)C)[C@@]1(C)CCC=C(C)C)C2=O)CC=C(C)C
 L-Arabinose,OC[C@H](O)[C@H](O)[C@@H](O)C=O
 O-Methoxycinnamaldehyde,COc1ccccc1/C=C/C=O
 Rhein,OC(=O)c1cc(O)c2C(=O)c3c(O)cccc3C(=O)c2c1
 Sio2,O=[Si]=O
 Terpinen-4-Ol ,CC1=C2CC(CC1C3(CC4CC(=C3C)C4(C)C)C5C(O)C6CC(=C5C)C6(C)C)C2(C)C
 Vitamin B12,CC1=CC2=C(C=C1C)N(C=N2)[C@@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)([O-])O[C@H](C)CNC(=O)CC[C@@]4([C@H]([C@@H]5[C@]6([C@@]([C@@H](/C(=C(/C7=N/C(=C\C8=N/C(=C(\C4=N5)/C)/[C@H](C8(C)C)CCC(=O)N)/[C@H]([C@]7(C)CC(=O)N)CCC(=O)N)\C)/[N-]6)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+3]
 Wuweizichun A,COc1cc2CC(C)C(C)(O)Cc3cc(OC)c(OC)c(OC)c3c2c(OC)c1OC
"(+)-(1S,10R)-1,10-Dimethylbicyclo[4.4.0]dec-6-en-3-one",C[C@@H]1CCC=C2CCC(=O)C[C@@]12C
"(+)-2,3-Dihydro-9-hydroxy-2[1-(6-sinapinoyl)beta-D-glucosyloxy-1-methylethyl]-7H-furo[3,2-g][1]benzopyran-7-one",CC(C)([C@H]1CC2=C(O1)C(=C3C(=C2)C=CC(=O)O3)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)COC(=O)/C=C/C5=CC(=C(C(=C5)OC)O)OC)O)O)O
"(+)-6,8-Di-C-methylpinocembrin 5-methyl ether",CC1=C(C(=C(C2=C1OC(CC2=O)C3=CC=CC=C3)OC)C)O
"(+)-6-(2-Hydroxy-3-methoxy-3-methylbutyl)-5,7-dimethoxycoumarin",COc1cc2OC(=O)C=Cc2c(OC)c1CC(O)C(C)(C)OC
(+)-7-Hydroxycostal,C[C@]12CCCC(=C)[C@@H]1C[C@@](CC2)(C(=C)C=O)O
(+)-7-Hydroxycostol,C[C@]12CCCC(=C)[C@@H]1C[C@@](CC2)(C(=C)CO)O
(+)-8(1)-Hydroxypinoresinol,COC1=C(C=CC(=C1)[C@@H]2[C@H]3CO[C@@H]([C@]3(CO2)O)C4=CC(=C(C=C4)O)OC)O
(+)-8-Hydroxycalamenene,CC(C)[C@H]1CC[C@H](C)c2c(O)cc(C)cc12
(+)-Abscisyl beta-D-glucopyranoside,CC1=CC(=O)CC([C@]1(/C=C/C(=C\C(=O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)/C)O)(C)C
(+)-Ajmaline,CC[C@H]1[C@@H]2C[C@H]3[C@H]4[C@@]5(C[C@@H]([C@H]2[C@H]5O)N3[C@@H]1O)C6=CC=CC=C6N4C
(+)-alpha-Cyperone,CC1=C2C[C@@H](CC[C@]2(CCC1=O)C)C(=C)C
(+)-alpha-Viniferin,C1=CC(=CC=C1[C@H]2[C@@H]3C4=C5[C@@H]([C@H](OC5=CC(=C4)O)C6=CC=C(C=C6)O)C7=C8[C@H]([C@@H](OC8=CC(=C7)O)C9=CC=C(C=C9)O)C1=C3C(=CC(=C1)O)O2)O
(+)-ar-Turmerone,CC1=CC=C(C=C1)[C@@H](C)CC(=O)C=C(C)C
(+)-Arctigenin,COC1=C(C=C(C=C1)C[C@@H]2COC(=O)[C@H]2CC3=CC(=C(C=C3)O)OC)OC
(+)-Ascorbic acid,OC[C@@H](O)[C@@H]1OC(=C(O)C1=O)O
(+)-Bebeerine,COc1cc2CCN(C)[C@H]3Cc4ccc(O)c(Oc5cc6[C@H](Cc7ccc(Oc(c1O)c23)cc7)N(C)CCc6cc5OC)c4
(+)-beta-Atlantone,CC1=CC[C@@H](CC1)C(=C)CC(=O)C=C(C)C
(+)-Blumenol A,CC1=CC(=O)CC([C@]1(/C=C/[C@@H](C)O)O)(C)C
(+)-Boldine,CN1CCC2=CC(=C(C3=C2[C@@H]1CC4=CC(=C(C=C43)OC)O)OC)O
(+)-Borneol,CC1(C)C2CCC1(C)C(O)C2
(+)-Camphene,CC1(C)C2CCC(C2)C1=C
(+)-Camphor,CC1(C)C2CCC1(C)C(=O)C2
(+)-Catechin,O[C@H]1Cc2c(O)cc(O)cc2O[C@@H]1c3ccc(O)c(O)c3
"(+)-cis-p-Mentha-2,8-dien-1-ol",CC(=C)[C@@H]1CC[C@](C=C1)(C)O
(+)-Coclaurine,COc1cc2CCN[C@H](Cc3ccc(O)cc3)c2cc1O
(+)-Coreximine,COC1=C(C=C2[C@H]3CC4=CC(=C(C=C4CN3CCC2=C1)OC)O)O
(+)-Corytuberine,CN1CCC2=CC(=C(C3=C2[C@@H]1CC4=C3C(=C(C=C4)OC)O)O)OC
(+)-Cyclochampedol,CC(=CC1C2=C(C3=C(O1)C(=C(C=C3)O)O)OC4=CC(=CC(=C4C2=O)O)O)C
(+)-Cycloolivil,COc1cc2C[C@@](O)(CO)[C@H](CO)[C@@H](c3ccc(O)c(OC)c3)c2cc1O
(+)-Cyclosativene,CC(C)C1CCC2(C)C3CC4C(C13)C24C
(+)-Dehydrovomifoliol,CC1=CC(=O)CC([C@]1(/C=C/C(=O)C)O)(C)C
(+)-Dicentrine,CN1CCC2=CC3=C(C4=C2[C@@H]1CC5=CC(=C(C=C54)OC)OC)OCO3
(+)-Dihydroisorhamnetin,COC1=C(C=CC(=C1)[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O)O
(+)-Dihydrokaempferol,OC1C(Oc2cc(O)cc(O)c2C1=O)c3ccc(O)cc3
(+)-Eburnamenine,CC[C@]12CCCN3[C@H]1C4=C(CC3)C5=CC=CC=C5N4C=C2
(+)-Elaeocarpine,Cc1cccc2O[C@@H]3CCN4CCC[C@@H]4[C@H]3C(=O)c12
(+)-Epiaschantin,COC1=CC(=CC(=C1OC)OC)[C@H]2[C@H]3CO[C@@H]([C@H]3CO2)C4=CC5=C(C=C4)OCO5
(+)-Epicatechin,O[C@H]1Cc2c(O)cc(O)cc2O[C@H]1c3ccc(O)c(O)c3
(+)-Epieudesmin,COC1=C(C=C(C=C1)[C@H]2[C@H]3CO[C@@H]([C@H]3CO2)C4=CC(=C(C=C4)OC)OC)OC
(+)-Epijasmonic acid,CC/C=C\C[C@H]1[C@H](CCC1=O)CC(=O)O
(+)-Epilamprolobine N-oxide,C1CC[N+]2(CCC[C@@H]([C@@H]2C1)CN3C(=O)CCCC3=O)[O-]
(+)-Epimagnolin A,COC1=C(C=C(C=C1)[C@H]2[C@@H]3CO[C@@H]([C@@H]3CO2)C4=CC(=C(C(=C4)OC)OC)OC)OC
(+)-Epipinoresinol,COc1cc(ccc1O)C2OCC3C2CO[C@H]3c4ccc(O)c(OC)c4
(+)-Episesamin,C1[C@H]2[C@H](CO[C@@H]2C3=CC4=C(C=C3)OCO4)[C@@H](O1)C5=CC6=C(C=C5)OCO6
(+)-Eudesmin,COc1ccc(cc1OC)[C@H]2OC[C@H]3[C@@H]2CO[C@@H]3c4ccc(OC)c(OC)c4
(+)-Fangchinoline,COc1ccc2C[C@@H]3N(C)CCc4cc(OC)c(O)c(Oc5cc6[C@H](Cc7ccc(Oc1c2)cc7)N(C)CCc6cc5OC)c34
(+)-Fargesin,COC1=C(C=C(C=C1)C2C3COC(C3CO2)C4=CC5=C(C=C4)OCO5)OC
(+)-Fenchone,CC1(C)C2CCC(C)(C2)C1=O
(+)-Gallocatechin,O[C@H]1Cc2c(O)cc(O)cc2O[C@@H]1c3cc(O)c(O)c(O)c3
(+)-gamma-Hydroxy-L-homoarginine,N[C@@H](CC(O)CCNC(N)=N)C(O)=O
(+)-Germacrene A,CC(=C)[C@@H]1CCC(=C/CCC(=C/C1)/C)/C
(+)-Gossypol,CC(C)c1c(O)c(O)c(C=O)c2c(O)c(c(C)cc12)c3c(C)cc4c(C(C)C)c(O)c(O)c(C=O)c4c3O
(+)-Hygrine,CN1CCC[C@@H]1CC(C)=O
(+)-Isoeburnamine,CC[C@]12CCCN3[C@H]1C4=C(CC3)C5=CC=CC=C5N4[C@@H](C2)O
(+)-Isolarisiresinol 2a-O-beta-D-glucopyranoside,COC1=C(C=C2C(C(C(CC2=C1)COC3C(C(C(C(O3)CO)O)O)O)CO)C4=CC(=C(C=C4)O)OC)O
