Senyawa,smiles
" 2,4-Dihydrophthalic Anhydride",O=C1OC(=O)C2C=CCCC12
" 2-Vinyl-(4h)-1,3-Dithiin",C=CC1SCC=CS1
 3-O-Cis-P-Coumaroylalphitolic,Did not work
 a-Dimorphecolic Acid ,Did not work
 a-Pinene,Did not work
 Aloe-Emodin-8-O-Glucoside,Did not work
 Arabinose,OC[C@@H](O)[C@@H](O)[C@H](O)C=O
 b-Sitosterol ,Did not work
 Chryso -Obtusin,Did not work
 D-Xylose,OC[C@@H](O)[C@H](O)[C@@H](O)C=O
 Essential  Oil  ,Did not work
 Eugenol ,COc1cc(CC=C)ccc1O
 g Sitosterol,Did not work
 g-Terpinene,Did not work
 Hydroxyanthraquinones,Did not work
 Hyperforin,CC(C)C(=O)[C@@]12C(=O)C(=C(O)[C@@](CC=C(C)C)(C[C@H](CC=C(C)C)[C@@]1(C)CCC=C(C)C)C2=O)CC=C(C)C
 Ketoalkenes,Did not work
 L-Arabinose,OC[C@H](O)[C@H](O)[C@@H](O)C=O
 Lauric,Did not work
 Monoterpene Myrcene,Did not work
 O-Methoxycinnamaldehyde,COc1ccccc1/C=C/C=O
 Palmitic,Did not work
 Phenolic Acids,Did not work
 Rhein,OC(=O)c1cc(O)c2C(=O)c3c(O)cccc3C(=O)c2c1
 Saikosaponins  A,Did not work
 Saikosaponins  B1,Did not work
 Saikosaponins  B2,Did not work
 Saikosaponins  B3,Did not work
 Saikosaponins  B4,Did not work
 Saikosaponins  D,Did not work
 Saikosaponins  E,Did not work
 Saikosaponins  F,Did not work
 Saikosaponins  H,Did not work
 Sio2,Did not work
 Terpinen-4-Ol ,CC1=C2CC(CC1C3(CC4CC(=C3C)C4(C)C)C5C(O)C6CC(=C5C)C6(C)C)C2(C)C
 Vitamin B12,Did not work
 Wuweizichun A,COc1cc2CC(C)C(C)(O)Cc3cc(OC)c(OC)c(OC)c3c2c(OC)c1OC
 Xanthones,Did not work
 Xylan ,Did not work
"(+)-(1S,10R)-1,10-Dimethylbicyclo[4.4.0]dec-6-en-3-one",C[C@@H]1CCC=C2CCC(=O)C[C@@]12C
"(+)-2,3-Dihydro-9-hydroxy-2[1-(6-sinapinoyl)beta-D-glucosyloxy-1-methylethyl]-7H-furo[3,2-g][1]benzopyran-7-one",Did not work
"(+)-3',4'-Dihydrostephasubine",Did not work
"(+)-6,8-Di-C-methylpinocembrin 5-methyl ether",Did not work
"(+)-6-(2-Hydroxy-3-methoxy-3-methylbutyl)-5,7-dimethoxycoumarin",COc1cc2OC(=O)C=Cc2c(OC)c1CC(O)C(C)(C)OC
(+)-7-Hydroxycostal,Did not work
(+)-7-Hydroxycostol,Did not work
(+)-8(1)-Hydroxypinoresinol,Did not work
(+)-8-Hydroxycalamenene,CC(C)[C@H]1CC[C@H](C)c2c(O)cc(C)cc12
(+)-Abscisyl beta-D-glucopyranoside,Did not work
(+)-Ajmaline,Did not work
(+)-alpha-Cyperone,Did not work
(+)-alpha-Viniferin,Did not work
(+)-Alstomacroline,Did not work
(+)-ar-Turmerone,Did not work
(+)-Arctigenin,Did not work
(+)-Ascorbic acid,OC[C@@H](O)[C@@H]1OC(=C(O)C1=O)O
(+)-Bebeerine,COc1cc2CCN(C)[C@H]3Cc4ccc(O)c(Oc5cc6[C@H](Cc7ccc(Oc(c1O)c23)cc7)N(C)CCc6cc5OC)c4
(+)-beta-Atlantone,Did not work
(+)-beta-Costol,Did not work
(+)-beta-Cyclocostunolide,Did not work
(+)-beta-Rotunol,Did not work
(+)-Blumenol A,Did not work
(+)-Boldine,Did not work
(+)-Borneol,CC1(C)C2CCC1(C)C(O)C2
(+)-Camphene,CC1(C)C2CCC(C2)C1=C
(+)-Camphor,CC1(C)C2CCC1(C)C(=O)C2
(+)-Catechin,O[C@H]1Cc2c(O)cc(O)cc2O[C@@H]1c3ccc(O)c(O)c3
"(+)-cis-p-Mentha-2,8-dien-1-ol",Did not work
(+)-Clolimalongine,Did not work
(+)-Coclaurine,COc1cc2CCN[C@H](Cc3ccc(O)cc3)c2cc1O
(+)-Coreximine,Did not work
(+)-Corytuberine,Did not work
(+)-Cycleabarbatine,Did not work
(+)-Cycleanorine,Did not work
(+)-Cyclochampedol,Did not work
(+)-Cycloolivil,COc1cc2C[C@@](O)(CO)[C@H](CO)[C@@H](c3ccc(O)c(OC)c3)c2cc1O
(+)-Cyclosativene,CC(C)C1CCC2(C)C3CC4C(C13)C24C
(+)-Dehydrosolanascone,Did not work
(+)-Dehydrovomifoliol,Did not work
(+)-Dicentrine,Did not work
(+)-Dihydrocostunolide,Did not work
(+)-Dihydroisorhamnetin,Did not work
(+)-Dihydrokaempferol,OC1C(Oc2cc(O)cc(O)c2C1=O)c3ccc(O)cc3
(+)-Eburnamenine,Did not work
(+)-Elaeocarpine,Cc1cccc2O[C@@H]3CCN4CCC[C@@H]4[C@H]3C(=O)c12
(+)-Epiaschantin,Did not work
(+)-Epicatechin,O[C@H]1Cc2c(O)cc(O)cc2O[C@H]1c3ccc(O)c(O)c3
(+)-Epieudesmin,Did not work
(+)-Epijasmonic acid,Did not work
(+)-Epilamprolobine N-oxide,Did not work
(+)-Epimagnolin,Did not work
(+)-Epimagnolin A,Did not work
(+)-Epipinoresinol,COc1cc(ccc1O)C2OCC3C2CO[C@H]3c4ccc(O)c(OC)c4
(+)-Episesamin,Did not work
(+)-Epiyangambin,Did not work
(+)-Eudesmin,COc1ccc(cc1OC)[C@H]2OC[C@H]3[C@@H]2CO[C@@H]3c4ccc(OC)c(OC)c4
(+)-Fangchinoline,COc1ccc2C[C@@H]3N(C)CCc4cc(OC)c(O)c(Oc5cc6[C@H](Cc7ccc(Oc1c2)cc7)N(C)CCc6cc5OC)c34
(+)-Fargesin,Did not work
(+)-Fenchone,CC1(C)C2CCC(C)(C2)C1=O
(+)-Gallocatechin,O[C@H]1Cc2c(O)cc(O)cc2O[C@@H]1c3cc(O)c(O)c(O)c3
(+)-gamma-Costal,Did not work
(+)-gamma-Costol,Did not work
(+)-gamma-Hydroxy-L-homoarginine,N[C@@H](CC(O)CCNC(N)=N)C(O)=O
(+)-Germacrene A,CC(=C)[C@@H]1CCC(=C/CCC(=C/C1)/C)/C
(+)-Gossypol,CC(C)c1c(O)c(O)c(C=O)c2c(O)c(c(C)cc12)c3c(C)cc4c(C(C)C)c(O)c(O)c(C=O)c4c3O
(+)-Hygrine,CN1CCC[C@@H]1CC(C)=O
(+)-Isoeburnamine,Did not work
(+)-Isolarisiresinol 2a-O-beta-D-glucopyranoside,Did not work
(+)-Isomenthone,CC(C)[C@H]1CC[C@@H](C)CC1=O
(+)-Isotrilobine,COc1ccc2CC3N(C)CCc4cc5Oc6c(OC)cc7CCN(C)C(Cc8ccc(Oc1c2)cc8)c7c6Oc5cc34
(+)-Isovalencenol,Did not work
(+)-Khusitene,Did not work
(+)-Kopsoffine,Did not work
(+)-Lariciresinol,COc1cc(CC2COC(C2CO)c3ccc(O)c(OC)c3)ccc1O
(+)-Ledol,C[C@@H]1CC[C@H]2[C@@H]1[C@H]3[C@@H](CC[C@@]2(C)O)C3(C)C
(+)-Limalongine,Did not work
(+)-Limousamine,Did not work
(+)-Lirioresinol B,Did not work
(+)-Lyoniresinol,Did not work
(+)-Lyoniresinol 3alpha-O-beta-D-glucopyranoside,Did not work
(+)-Marmesin,CC(C)(O)[C@@H]1Cc2cc3C=CC(=O)Oc3cc2O1
(+)-Murrayazoline,Did not work
(+)-N-Methylapateline,Did not work
(+)-N-Methyllaurotetanine,Did not work
(+)-Nornicotine,C1CN[C@H](C1)c2cccnc2
(+)-Norseredamine,Did not work
(+)-Perakine,Did not work
(+)-Phillygenin,Did not work
(+)-Physoperuvine,Did not work
(+)-Picriside B,Did not work
(+)-Picriside C,Did not work
(+)-Pinoresinol,COc1cc(ccc1O)[C@H]2OC[C@H]3[C@@H]2CO[C@@H]3c4ccc(O)c(OC)c4
(+)-Piperitol,Did not work
(+)-Prezizaene,Did not work
(+)-Pterocarpol,Did not work
(+)-Quebrachidine,Did not work
(+)-Quercitol,O[C@@H]1C[C@@H](O)[C@H](O)C(O)[C@H]1O
(+)-Raucaffrinoline,Did not work
(+)-Rauflexine,Did not work
(+)-Reflexine,Did not work
(+)-Reticuline,COc1ccc(C[C@@H]2N(C)CCc3cc(OC)c(O)cc23)cc1O
(+)-Sabinene,Did not work
(+)-Sesamin,C1Oc2ccc(cc2O1)[C@H]3OC[C@H]4[C@@H]3CO[C@@H]4c5ccc6OCOc6c5
(+)-Sesamin (Eleutheroside B4),Did not work
(+)-Sesamolin,Did not work
(+)-Spathulenol,Did not work
(+)-Stepharine,Did not work
(+)-Stephasubine,Did not work
(+)-Strigol,Did not work
(+)-Syringaresinol,COc1cc(cc(OC)c1O)[C@H]2OC[C@H]3[C@@H]2CO[C@@H]3c4cc(OC)c(O)c(OC)c4
(+)-Syringaresinol O-beta-D-glucoside,COc1cc(cc(OC)c1O)[C@H]2OC[C@H]3[C@@H]2CO[C@@H]3c4cc(OC)c(O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)c(OC)c4
